Symptoms Set,Deaths,Occurrences,Ratio %
Petequias,3404,3646,93.36258913878223
Exantema,6231,6561,94.9702789208962
Leucopenia,1035,1088,95.12867647058823
Renal,60,57,105.26315789473684
Febre,25158,23576,106.7102137767221
Hepatopatia,99,92,107.6086956521739
Conjuntivite,660,602,109.63455149501662
Vômito,9076,8158,111.25275802892867
Hematológico,98,88,111.36363636363636
Náusea,6060,5205,116.4265129682997
Hipertensão,98,84,116.66666666666667
Mialgia,11578,8749,132.33512401417303
Dor nas Costas,1541,1069,144.1534144059869
Artrite,755,513,147.17348927875244
Artralgia,1195,787,151.84243964421856
Cefaleia,9585,6291,152.3605150214592
Dor Retro,1980,1194,165.82914572864323
